ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_av_err,sed_radius,sed_radius_err,sed_teff,sed_teff_err,sed_logg,sed_logg_err,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0193,RG,05:18:34.47,-69:45:33.0,15.609,16.96,1.351,279.616,9116.6,0.045,0.2272,63.1,16.0,1,LMC,49970.0,0.30613803023117997,0.3559786972584107,49.91543750283598,1.6622537074369783,4289.298546962225,230.3613144932217,0.8657934076405983,0.45714486886347233,-0.7,0.00846112748837134,1.659832105384235,0.17325,0.0,0.50625,765.655929755437
OGLE-LMC-HB-0194,MS,05:18:39.70,-69:32:35.6,15.515,15.412,-0.103,11.95267,9005.88,0.025,0.511,31.7,5.0,0,LMC,49970.0,3.8157122439294614e-12,0.8559785689683141,7.621278073908201,2.392023755884661,19815.777082546523,16793.340770028124,2.9999999999998885,20.62804402558761,-0.7,-0.07081236018354242,2.447755337167801,0.22725,0.0,0.61875,8130.529548186223
OGLE-LMC-HB-0195,RG,05:18:49.01,-69:38:19.3,15.664,17.466,1.802,530.79,9130.3,0.036,0.3339,63.8,177.7,1,LMC,49970.0,0.74925,0.6767687642334664,75.22928312892574,2.107443222018646,3881.3373371685657,277.9660036897581,1.8585999999999998,1.1435636206025128,-0.7,0.005932807529762266,2.3352246575992592,0.25875000000000004,0.0,0.7492500000000001,1166.052734551963
OGLE-LMC-HB-0196,RG,05:18:51.09,-70:02:42.2,15.995,17.468,1.473,420.02,9161.9,0.015,0.207,60.0,44.1,1,LMC,49970.0,0.4725,0.41708101940200115,50.21025997237899,1.447821364268741,4193.591696221731,220.147969873632,1.9663241848613973,0.8649306876521541,-0.7,0.00218403041193381,3.9146420120794194,0.2205,0.0,0.47250000000000003,707.8615120512235
OGLE-LMC-HB-0197,RG,05:18:52.05,-69:29:51.1,16.511,18.023,1.512,232.874,9023.0,0.034,0.181,59.0,46.2,1,LMC,49970.0,0.6043560307026037,0.45844236270459743,41.23387813795954,1.1432947463732732,4231.5748760603665,235.62355983069145,2.2729999999999992,1.4427841775712857,-0.7,0.011758789147693757,1.6165683263979986,0.25875000000000004,0.0,0.71325,494.9203037288367
OGLE-LMC-HB-0198,RG,05:18:55.86,-69:26:17.7,15.881,17.598,1.717,313.26,9182.2,0.027,0.187,81.7,62.2,1,LMC,49970.0,0.8223073359770422,0.5650535044295432,54.3801658175524,1.6888592392648258,4244.539821452218,290.66640654071745,2.1054999999999997,2.143547754084446,-0.7,0.04553454752213424,1.663756877140725,0.28125,0.0,0.89775,871.4094984091582
OGLE-LMC-HB-0199,RG,05:19:03.69,-69:39:16.6,15.426,17.174,1.748,397.707,9057.5,0.098,0.3219,89.6,88.7,1,LMC,49970.0,0.6209999999996909,0.5665952639075587,71.0642587661754,2.320767943346664,4002.5907668975296,284.8338337311176,0.5705487707571567,0.6467585420351872,-0.7,0.022085004859762544,2.2179735675924337,0.225,0.0,0.621,1176.7548655505648
OGLE-LMC-HB-0200,RG,05:19:04.48,-69:19:05.4,15.001,16.58,1.579,439.93,9049.4,0.045,0.227,60.5,123.1,1,LMC,49970.0,0.713347284701817,0.38192393498729094,76.03087652747178,2.3536925812873655,4305.112195786149,243.9902477138268,1.897999999999704,0.7403140326687337,-0.7,0.005291134925705687,1.1780542025156018,0.243,0.0,0.729,1802.7548634862894
OGLE-LMC-HB-0201,RG,05:19:14.04,-69:51:17.2,15.028,15.887,0.859,98.5696,9046.37,0.034,0.2899,66.7,150.4,1,LMC,49970.0,0.3647695289684876,0.49314572561690656,43.370039662769564,1.7642049148746828,5243.39943990414,464.12224890846346,2.3354999999999637,1.0967465051841878,-0.7,-0.00010528104711861117,0.37235954813987154,0.216,0.0,0.711,1290.7739642225858
OGLE-LMC-HB-0202,RG,05:19:14.72,-69:52:37.0,15.683,17.139,1.456,279.81,9052.6,0.042,0.3076,63.4,146.9,1,LMC,49970.0,0.5872499999999999,0.36719000523911527,48.017189900983,1.4300399805400739,4467.657411382897,231.7473784131985,2.2024999999999997,1.1574652532760203,-0.7,0.005058477360815896,2.0150189169344483,0.20925,0.0,0.58725,833.9340721448492
