ID,Type,RA,Decl,I,V,V_I,P,T0,A,Ecc,Incl,Peri,Model,loc,sed_dist,sed_av,sed_radius,sed_teff,sed_logg,sed_feh,sed_irslope,sed_chi2oN,Av_median,Av_minus_two_sigma,Av_plus_two_sigma,sed_L
OGLE-LMC-HB-0206,RG,05:19:37.74,-70:01:25.0,15.476,17.022,1.546,437.99,9079.7,0.017,0.382,45.6,11.0,1,LMC,49969.999063593066,0.4229999998069332,61.75618243947981,4254.650901001657,2.02169999694371,-0.7,-0.0064547556242841985,2.2587687357697206,0.207,0.0,0.423,1134.5807060130908
OGLE-LMC-HB-0207,MS,05:19:38.32,-69:39:04.7,15.92,15.813,-0.107,6.709876,9002.683,0.037,0.38,57.4,41.8,1,LMC,49970.0001456081,0.008594674647336431,6.656941781293159,19000.000075762007,2.053337966509666,-0.7,0.3462702996980743,2.12592708005096,0.21375,0.0,0.63675,5243.034472646833
OGLE-LMC-HB-0208,RG,05:19:42.50,-68:15:47.6,15.691,17.291,1.6,792.11,9629.7,0.042,0.565,63.1,57.8,1,LMC,49969.999852216955,0.2895341597304523,62.68150258478714,4029.3033591406365,0.6146060670621747,-0.7,0.005925903057395392,0.9163446722351557,0.31275000000000003,0.024750000000000022,0.6772500000000001,940.193936005726
OGLE-LMC-HB-0209,RG,05:20:03.15,-69:22:56.3,15.219,16.785,1.566,349.884,9231.1,0.048,0.2642,59.5,109.2,1,LMC,49969.999994559745,0.17041956169535374,70.59906834108808,4059.384285909394,1.3835041864281432,-0.7,-0.008349807615267248,1.8649855672921978,0.14400000000000002,0.0,0.46799999999999997,1228.732624464238
OGLE-LMC-HB-0210,RG,05:20:13.39,-69:22:53.2,15.266,16.73,1.464,454.631,9117.2,0.074,0.4211,69.5,165.9,1,LMC,49970.00003922723,0.4387499996499458,65.77878495653553,4325.5810705182885,1.9896999996807365,-0.7,0.006496648291325284,2.5295546995499727,0.12825,0.0,0.43875000000000003,1375.2077243856002
OGLE-LMC-HB-0211,RG,05:20:14.61,-70:40:48.8,16.134,17.718,1.584,365.42,9154.8,0.03,0.342,63.8,59.2,1,LMC,49969.99998409527,0.22049474666535054,51.56580374505747,4000.0000133328354,0.7338239001128923,-0.7,-0.0004101846126702345,1.5875120548760016,0.2385,0.0,0.5085,617.9912679910645
OGLE-LMC-HB-0212,RG,05:20:36.07,-70:00:46.4,14.477,15.847,1.37,319.011,9253.4,0.033,0.1852,70.8,48.6,1,LMC,49969.99927933789,0.41474513352573056,96.60702041854813,4334.064447407568,1.732099999959984,-0.7,0.02899469582192215,2.01058196157308,0.24525,0.01125000000000001,0.50625,2989.631219888042
OGLE-LMC-HB-0213,RG,05:20:40.74,-70:49:42.8,16.227,17.51,1.283,207.736,9001.9,0.041,0.303,59.6,148.7,1,LMC,49970.00097181648,0.49499999999970373,36.70568313017338,4647.552810642287,2.3923999998858703,-0.7,-0.0018945297193767804,1.9179816318115817,0.2565,0.027000000000000024,0.495,570.6669755985839
OGLE-LMC-HB-0214,RG,05:20:42.24,-69:57:02.3,14.609,15.366,0.757,168.413,9116.06,0.026,0.417,41.1,85.4,1,LMC,49969.99997490123,0.22434822382072392,51.01534432725236,5750.000216017026,2.3228999999596933,-0.7,0.025292100034215878,3.634357095763419,0.32175,0.02474999999999996,0.65025,2582.806515790875
OGLE-LMC-HB-0215,RG,05:20:43.72,-69:21:29.8,15.444,16.719,1.275,256.651,9216.8,0.021,0.486,51.9,98.1,1,LMC,49969.99967597034,1.7184947531827368e-10,50.9391838340725,4306.227418188456,1.8407466077468042,-0.7,0.004430509197460872,0.7776894129809426,0.15075,0.0,0.42525,810.0477062926283
OGLE-LMC-HB-0216,RG,05:20:47.82,-69:12:01.3,15.738,17.31,1.572,443.99,9008.0,0.049,0.4102,81.3,114.7,1,LMC,49970.000250332916,0.5017499999999825,55.77985057987522,4182.17330112567,2.0807999973327624,-0.7,-0.0020752484975710716,1.0087284225951074,0.21825,0.0,0.50175,864.1349660612402
OGLE-LMC-HB-0217,RG,05:20:49.54,-69:22:12.3,15.215,16.888,1.673,591.75,9086.7,0.032,0.1842,65.8,32.5,1,LMC,49970.0005644692,0.4297499999712067,74.52004201814232,4121.708473327713,1.890799999430926,-0.7,-0.004860384691097847,2.090894425097027,0.15525,0.0,0.42975,1455.0370475206942
OGLE-LMC-HB-0218,RG,05:20:58.01,-70:22:17.5,15.962,17.454,1.492,318.5,9067.5,0.03,0.199,53.4,2.7,1,LMC,49969.99998466058,0.05671523330457337,50.399288106561855,4060.381718996599,0.9999289314170374,-0.7,0.002742564376265351,1.5774916581447243,0.24525,0.029249999999999995,0.45675000000000004,626.8087408326027
OGLE-LMC-HB-0219,RG,05:21:04.06,-70:38:49.8,15.495,17.227,1.732,615.76,9031.5,0.048,0.4115,53.2,123.6,1,LMC,49969.99999166322,0.4953135404334351,74.48007572435692,3999.9999894468137,0.7748270251694687,-0.7,0.0005133571238101291,1.1970919838613856,0.27225,0.04724999999999998,0.5017499999999999,1289.2554162538818
OGLE-LMC-HB-0220,RG,05:21:18.34,-69:15:38.6,15.214,16.88,1.666,312.881,9123.13,0.115,0.2887,60.95,46.71,0,LMC,49970.000769819424,0.44324999994959274,72.52898883049403,4143.591432230036,1.908899999162359,-0.7,-0.0005077616128219426,3.2082109081467083,0.15075,0.0,0.44325000000000003,1407.828445272865
OGLE-LMC-HB-0221,RG,05:21:21.36,-69:43:44.5,15.165,17.019,1.854,471.69,9297.2,0.042,0.1695,61.7,150.7,1,LMC,49970.00075869067,0.2595174662776798,87.25840495606137,3786.358017742542,0.38915177214466834,-0.7,-0.002352688415225991,1.7038966752614504,0.15525,0.0,0.55125,1420.7577357304936
OGLE-LMC-HB-0222,RG,05:21:31.21,-69:21:54.4,15.813,17.99,2.177,301.413,9284.9,0.034,0.265,46.4,119.5,1,LMC,49969.999666914555,0.6299999999756071,65.98819773155876,4242.941597399492,1.9776999999999993,-0.7,-0.005673745106580338,5.785478711849525,0.19349999999999998,0.0,0.6300000000000001,1281.2076836830809
OGLE-LMC-HB-0223,RG,05:21:36.96,-69:37:31.6,15.11,16.71,1.6,437.51,9090.3,0.055,0.1639,88.6,116.5,1,LMC,49969.9995511482,0.48149999999997334,69.9064661755754,4197.91797372209,1.9387999999876764,-0.7,0.011815144034026046,2.768717899229307,0.0945,0.0,0.4815,1377.809819645353
OGLE-LMC-HB-0224,RG,05:21:53.51,-69:30:55.8,14.751,15.633,0.882,107.1771,9083.58,0.077,0.3067,53.3,37.3,1,LMC,49970.000208699545,0.3651071177857094,44.380012497889176,5750.006929893437,2.3929999999999993,-0.7,-0.002427908789602781,3.8069797942621504,0.07425000000000001,0.0,0.47025,1954.641420541425
OGLE-LMC-HB-0225,MS,05:22:00.08,-69:35:10.3,15.801,15.976,0.175,13.73925,9005.09,0.039,0.221,38.3,2.9,1,LMC,49970.0000032552,0.04251691382467249,17.809932319057115,7403.100904033185,0.23267262490077892,-0.7,-0.010170786303074945,3.0454356161947183,0.06975,0.0,0.42525,864.9639321117182
OGLE-LMC-HB-0226,RG,05:22:13.10,-69:51:00.3,14.452,15.711,1.259,668.85,9282.4,0.022,0.425,61.5,54.7,1,LMC,49969.999019077186,1.778693304061726e-12,80.04189188847,4328.828357734705,1.8978999998638955,-0.7,-0.010641795979787674,1.6846024168284275,0.36,0.0,1.035,2042.3724284746806
OGLE-LMC-HB-0227,RG,05:22:13.34,-69:03:30.0,15.177,16.987,1.81,615.84,9214.2,0.051,0.4049,63.2,146.1,1,LMC,49969.99996596752,0.5984999996245539,81.56072340745236,4019.9704143760137,1.7140190429731852,-0.7,0.0013368242241755062,2.6183163277499992,0.2925,0.0,0.5985,1577.147639908102
OGLE-LMC-HB-0228,RG,05:22:53.07,-70:11:13.2,15.38,16.912,1.532,708.63,9436.5,0.024,0.408,49.0,129.9,1,LMC,49970.00027830885,0.3802499999845862,70.45577836700957,4210.56066927183,1.9890999999960632,-0.7,0.004416246827130113,4.5051646464339665,0.16874999999999998,0.0,0.38025,1416.4842072138326
OGLE-LMC-HB-0229,RG,05:22:55.17,-70:38:46.5,15.362,16.951,1.589,459.92,9001.6,0.038,0.365,88.7,134.9,1,LMC,49970.00048208708,0.4994999999993403,68.59706242081407,4208.223568804696,0.3050072010711653,-0.7,0.004119235304599403,4.338790536808988,0.2565,0.027000000000000024,0.4995,1339.753925811026
OGLE-LMC-HB-0230,MS,05:23:01.75,-67:58:27.3,14.623,14.492,-0.131,15.10097,9001.8,0.018,0.662,29.0,7.0,0,LMC,49970.000009265874,0.05743935706357233,14.006095061668654,18299.879155470826,0.8501554307036251,-0.7,-0.05182116770279263,0.7510443823194607,0.36675,0.0,0.9472500000000001,19973.11541046715
OGLE-LMC-HB-0231,RG,05:23:05.99,-69:16:49.5,15.18,16.831,1.651,1033.82,9888.0,0.066,0.5746,60.6,31.9,1,LMC,49969.99992228487,0.3644999999999998,72.60502099081295,4087.139665091382,1.9008999999999998,-0.7,-0.005207392943872061,1.690010546585757,0.1125,0.0,0.3645,1335.4573106248395
OGLE-LMC-HB-0232,RG,05:23:07.88,-70:34:26.7,16.699,17.942,1.243,111.7239,9098.42,0.076,0.2023,65.0,67.0,1,LMC,49969.99900164609,0.41174999615031926,27.834025063946314,4753.898610852117,2.568599998071966,-0.7,0.02380446807607502,2.261051173950291,0.21375,0.002250000000000002,0.41175,359.2282419907545
OGLE-LMC-HB-0233,RG,05:23:15.68,-69:23:07.6,15.414,16.909,1.495,462.86,9225.9,0.022,0.293,45.5,88.5,1,LMC,49969.999772717936,0.45449999999885177,62.83107315866338,4239.301123976509,2.0076999990406037,-0.7,0.0033693945368722675,0.7146456330750606,0.14850000000000002,0.0,0.4545,1157.5634485373657
OGLE-LMC-HB-0234,RG,05:23:17.14,-67:36:26.3,15.058,16.571,1.513,300.5,9217.2,0.041,0.333,65.2,177.7,1,LMC,49969.99997460113,0.4014194856571932,76.78564662738864,4250.00027326569,1.8770312251249415,-0.7,0.001143009272864883,2.5656378925573726,0.17775,0.0,0.47025000000000006,1746.3637522083802
OGLE-LMC-HB-0235,RG,05:23:19.47,-70:33:38.0,15.73,17.422,1.692,337.514,9170.7,0.054,0.2177,60.2,106.5,1,LMC,49970.000681604826,0.4477499999999601,61.36099860841489,4067.214257988384,2.2227491175865387e-10,-0.7,0.005497780090240168,3.100358143615407,0.20475,0.0,0.44775000000000004,935.3880726974453
OGLE-LMC-HB-0236,RG,05:23:29.53,-69:23:30.8,14.954,16.683,1.729,460.334,9218.86,0.083,0.3062,80.8,161.6,1,LMC,49969.999529028544,0.5444999999999999,85.15131729616343,4069.8219075370907,1.7989999999999997,-0.7,0.0038310416853767014,2.2355365233475863,0.1845,0.0,0.5445,1805.9392939168608
OGLE-LMC-HB-0237,RG,05:23:47.66,-69:53:48.4,14.889,16.743,1.854,448.93,9132.5,0.063,0.2555,55.0,96.0,1,LMC,49970.00042819689,0.5152499999992772,87.01830821192645,4038.000377660922,1.7784999999999997,-0.7,-0.002484786391133546,3.332408980364188,0.16424999999999998,0.0,0.51525,1827.702378037639
OGLE-LMC-HB-0238,MS,05:24:01.89,-69:49:20.6,13.402,13.26,-0.142,7.467877,9000.734,0.046,0.1274,43.2,4.0,0,LMC,49969.9999990782,0.0495749046799654,21.380817873804336,18999.99994503635,1.6835269871499063,-0.7,-0.002577494934985752,0.6209516294571903,0.14625,0.0,0.44325000000000003,54085.61991508316
OGLE-LMC-HB-0239,RG,05:24:01.91,-69:13:52.1,15.481,17.054,1.573,603.75,9480.2,0.033,0.373,70.4,112.2,1,LMC,49969.99900180744,0.7660287216928683,62.7362167389742,4314.878159723092,1.7081835981900353,-0.7,0.003161539483786715,1.0417842946402498,0.2925,0.0,0.8055,1238.595743714278
OGLE-LMC-HB-0240,RG,05:24:28.95,-70:59:58.5,15.031,16.538,1.507,556.02,9410.8,0.038,0.446,78.7,85.8,1,LMC,49970.00026329517,0.037518594235005795,75.43498615687787,4124.725766734237,1.8908999999932161,-0.7,0.008405463525278408,2.391265814300879,0.2385,0.0,0.5489999999999999,1495.3564678508624
OGLE-LMC-HB-0241,RG,05:24:32.81,-70:09:21.1,16.629,17.956,1.327,249.13,9055.7,0.029,0.351,88.5,113.2,1,LMC,49969.99990724089,0.28179898840560924,31.519729797851397,4499.999806517608,2.4696885890512776,-0.7,-0.016970933819753745,4.5135461267250045,0.22725,0.0,0.49725,369.8569099425182
OGLE-LMC-HB-0242,RG,05:24:35.64,-69:51:50.4,15.111,16.532,1.421,384.91,9225.7,0.025,0.127,49.5,159.3,0,LMC,49970.000127361964,0.6637499999999177,60.318583117414114,4692.253369543266,2.0764999999999993,-0.7,-0.01581004684069699,2.2317150469971363,0.22725,0.0,0.6637500000000001,1601.2047399529417
OGLE-LMC-HB-0243,RG,05:24:36.92,-70:33:15.1,15.824,17.351,1.527,245.046,9184.11,0.081,0.2295,72.3,44.5,1,LMC,49970.000687641914,0.163467929899737,53.09108608082784,4168.039121849881,1.966436377354305,-0.7,0.005242884157114834,2.6756449775733424,0.22275,0.06525,0.33525000000000005,772.3055414461888
OGLE-LMC-HB-0244,RG,05:24:38.26,-70:00:28.7,13.868,15.34,1.472,410.263,9112.7,0.057,0.1235,53.0,59.2,1,LMC,49969.9998183251,0.5489999999964743,107.17614336781976,4820.302289840092,1.7288999976755506,-0.7,0.01774947485095419,5.7759176921866375,0.2565,0.0,0.5489999999999999,5630.048464604892
OGLE-LMC-HB-0245,RG,05:24:50.90,-68:52:11.5,16.496,17.791,1.295,211.872,9022.3,0.044,0.2333,89.3,89.8,1,LMC,49969.999003901525,0.5354999999805912,34.16528377421651,4582.765387496837,2.427899999989147,-0.7,0.004542244955210149,3.9246564594096585,0.261,0.009000000000000008,0.5355,467.4114496892235
OGLE-LMC-HB-0246,RG,05:25:06.65,-68:48:23.3,15.546,16.937,1.391,200.787,9052.4,0.039,0.1134,89.0,170.2,0,LMC,49970.000182159216,0.5579999999999999,52.555745383438065,4578.381041408523,2.1562999999999994,-0.7,0.0007517244391061456,3.1564268582527193,0.32849999999999996,0.09899999999999999,0.558,1101.8105407462704
OGLE-LMC-HB-0247,RG,05:25:08.03,-69:24:34.1,15.194,16.819,1.625,322.88,9285.8,0.029,0.246,30.64,46.1,1,LMC,49969.99900456781,0.5692499991572352,87.275023198318,3972.313706336297,1.7750998832809481,-0.7,-0.07065376947423047,6.294233670864516,0.20925,0.0,0.56925,1721.7610776421188
OGLE-LMC-HB-0248,RG,05:25:15.04,-69:57:25.8,16.279,17.76,1.481,292.494,9035.9,0.041,0.391,64.0,129.3,1,LMC,49969.99998319654,0.06013707162299415,45.617357301380615,4135.038350359023,0.9999965734762647,-0.7,-0.010063197567149643,2.7908372687868144,0.24075,0.0,0.63225,552.3281730918147
OGLE-LMC-HB-0249,RG,05:25:21.86,-69:05:25.6,15.86,17.366,1.506,271.971,9118.0,0.051,0.2952,59.0,43.5,1,LMC,49970.00099720154,6.921883437297488e-21,48.27669874569503,4107.583753400905,2.1629999999999994,-0.7,0.01295177240253444,3.818987708007639,0.23625,0.0,0.49725,602.3371138225925
OGLE-LMC-HB-0250,RG,05:25:41.96,-69:48:47.4,14.774,16.371,1.597,511.57,9200.5,0.034,0.307,73.5,41.9,1,LMC,49969.99900328111,0.6763056201750612,96.44699298089631,4264.888309472861,1.746999998572164,-0.7,-0.007145913497914417,1.2982494709718264,0.22725,0.0,0.7492500000000001,2794.002671949572
