# Date:     2023-05-07 18:47:20
# Database: ocvs
# Target:   all_hb
# Query:    P>=0 
# Objects:  991
# Columns:
# ID	Type	RA	Decl	I	V	V_I	P	T0	A	Ecc	Incl	Peri	Model
OGLE-BLG-HB-0111	RG	17:50:08.83	-29:43:44.1	15.244	20.142	4.898	213.06800000	9174.8000	0.024	0.1087	89.70	132.30	1
OGLE-BLG-HB-0112	RG	17:50:10.32	-30:51:19.4	14.975	18.845	3.870	222.29400000	9040.7500	0.032	0.1101	54.17	138.77	1
OGLE-BLG-HB-0113	RG	17:50:14.69	-30:49:11.9	15.184	19.737	4.553	282.97100000	9194.8700	0.044	0.1522	89.80	59.81	1
OGLE-BLG-HB-0114	RG	17:50:23.63	-32:49:28.4	14.279	17.267	2.988	208.27100000	9040.2000	0.019	0.0907	36.84	164.00	1
OGLE-BLG-HB-0115	RG	17:50:28.46	-33:34:40.7	14.019	17.875	3.856	439.99400000	9350.0000	0.062	0.1360	65.70	43.05	1
OGLE-BLG-HB-0116	RG	17:50:28.77	-33:35:51.2	13.999	17.470	3.471	147.06400000	9129.9000	0.030	0.0904	90.00	57.00	0
OGLE-BLG-HB-0117	RG	17:50:29.56	-33:04:39.0	14.841	18.067	3.226	145.15000000	9056.6900	0.033	0.1201	55.30	33.10	1
OGLE-BLG-HB-0118	RG	17:50:30.60	-30:27:17.1	14.710	19.404	4.694	277.10800000	9058.8000	0.027	0.0845	40.83	176.20	1
OGLE-BLG-HB-0119	RG	17:50:30.60	-23:00:27.0	14.254	18.105	3.851	181.39400000	9145.2000	0.029	0.2267	89.60	89.20	1
OGLE-BLG-HB-0120	RG	17:50:35.08	-30:41:34.4	15.272	18.549	3.277	188.57000000	9150.3000	0.024	0.2159	66.60	74.80	1
OGLE-BLG-HB-0121	RG	17:50:39.36	-35:05:32.1	14.430	16.885	2.455	263.06700000	9069.4500	0.032	0.4002	64.70	166.30	1
OGLE-BLG-HB-0122	RG	17:50:40.08	-30:23:24.6	13.587	17.691	4.104	264.17700000	9045.8200	0.053	0.2861	81.10	65.61	1
OGLE-BLG-HB-0123	RG	17:50:44.69	-33:11:34.5	14.265	17.050	2.785	435.66500000	9341.6000	0.027	0.3568	78.70	136.50	1
OGLE-BLG-HB-0124	RG	17:50:46.07	-24:02:34.0	15.381	19.869	4.488	200.77900000	9142.0000	0.047	0.3061	61.50	5.30	1
OGLE-BLG-HB-0125	RG	17:50:50.27	-22:57:01.6	14.060	17.177	3.117	337.67000000	9009.4800	0.069	0.4024	62.80	70.50	1
OGLE-BLG-HB-0126	RG	17:50:58.40	-33:18:56.9	15.369	17.859	2.490	132.38500000	9060.9000	0.016	0.1170	58.30	24.10	1
OGLE-BLG-HB-0127	RG	17:51:01.81	-30:04:33.0	14.742	18.933	4.191	231.08800000	9167.8000	0.037	0.1240	55.70	54.36	1
OGLE-BLG-HB-0128	RG	17:51:02.19	-30:54:30.4	14.536	17.492	2.956	297.18280000	9015.0720	0.332	0.3061	90.00	66.39	0
OGLE-BLG-HB-0129	RG	17:51:09.85	-30:04:06.8	13.371	17.986	4.615	327.91720000	9246.4600	0.184	0.1044	90.00	67.20	0
OGLE-BLG-HB-0130	RG	17:51:13.30	-33:38:21.2	15.248	17.996	2.748	286.81700000	9185.4400	0.043	0.2938	64.90	80.30	1
OGLE-BLG-HB-0131	RG	17:51:17.27	-33:17:47.4	14.222	16.891	2.669	267.35200000	9051.0100	0.047	0.3418	62.40	164.70	0
OGLE-BLG-HB-0132	RG	17:51:21.10	-32:14:21.2	14.119	18.562	4.443	426.35700000	9356.2000	0.053	0.1443	68.20	130.79	1
